company_id,company_name,prefecture,address,phone,url,status
00-027425,㈱ロゴスホーム,北海道,帯広市東３条南１３－２－１,0155－22－4126,https://www.logoshome.jp,pending
T00-003717,㈱土屋ホールディングス,北海道,札幌市北区北９条西３－７,011－717－5556,https://www.tsuchiyahome.jp,pending
01-722529,㈱ジョンソンホームズ,北海道,札幌市西区八軒４条東５－１－１,011－737－8888,https://www.johnsonhome.co.jp,pending
00-024818,豊栄建設㈱,北海道,札幌市中央区北８条西１２－２８,011－219－5855,https://www.hoei999.co.jp,pending
00-027672,㈱アーキテックプランニング,北海道,札幌市北区新琴似１０条１７－１－１５,011－215－6241,https://www.architec-net.jp,pending
01-700931,札証物産㈱,北海道,札幌市中央区南７条西８－１－１６,011－512－2007,https://hugkumi-life.jp/detail/index.php,pending
01-720920,㈱ｅｃｏａハウス,北海道,千歳市花園２－１－５,0123－23－4879,https://jinde.co.jp,pending
01-719164,コスモ建設㈱,北海道,札幌市清田区清田１条１－５－１,011－802－6715,https://www.cosmokensetsu.co.jp,pending
01-562610,㈱カワムラホーム,北海道,旭川市豊岡４条３－７－１３,0166－32－3231,https://kawamurahome.jp,pending
00-024864,㈱曲小小倉工務店,北海道,函館市亀田町１７－２,0138－41－3844,https://www.b-mall.ne.jp/CompanyDetail-DZbqCQjrHUix.html,pending
01-593372,㈱アートホーム,北海道,北見市本町２－４－１０,0157－68－1110,https://www.k-arthome.co.jp,pending
01-563785,㈱石山工務店,北海道,旭川市東４条８－１－１５,0166－22－1480,https://www.1480.jp,pending
01-719194,㈱匠建コーポレーション,北海道,札幌市東区北４５条東５－５－１６,011－733－5506,https://www.takkencp.co.jp,pending
01-713522,㈱藤城建設,北海道,札幌市東区中沼町３３,011－791－1000,https://www.fujiki-kensetsu.co.jp,pending
T01-008922,グッドフィールド㈱,北海道,札幌市中央区北４条西５－１－２,011－221－5200,https://www.goodfield.ne.jp,pending
01-602403,大鎮キムラ建設㈱,北海道,苫小牧市日吉町１－４－６,0144－72－1146,https://hugkumi-life.jp/detail/index.php,pending
01-524222,㈱不動産企画ウィル,北海道,函館市松陰町１８－３６,0138－35－6235,https://iewill.jp,pending
01-703677,イワクラホーム㈱,北海道,札幌市豊平区水車町５－１０－１０,011－841－7821,https://www.iwakura-home.co.jp,pending
01-623217,㈱北王,北海道,帯広市西７条北１－１１－２,0155－28－3100,https://hokuo.homelife.co.jp,pending
01-640692,㈱近藤工務店,北海道,標津郡中標津町東５条南１１－１－１０,0153－72－8988,https://hugkumi-life.jp/detail/index.php,pending
01-718114,エムズ・インダストリー㈱,北海道,札幌市東区北４０条東８－２－１,011－733－6404,https://iezoom.jp/company/company-2793.html,pending
01-603240,住研ハウス㈱,北海道,苫小牧市新開町４－８－７,0144－57－5711,https://jukenhouse.co.jp,pending
01-721849,山下ホーム㈱,北海道,札幌市中央区北１条西１７－１－４７,011－211－0735,https://www.yamashitahome.co.jp/contact,pending
01-623665,㈱アイ建築工房,北海道,帯広市西１９条北１－５－１５,0155－67－1116,https://i-kenchikukoubou.jp,pending
01-623335,㈱グッド住マイル,北海道,帯広市西２条南２５－６,0155－20－7458,https://kj-ie.co.jp/author/20240100050,pending
01-564845,㈱家計画,北海道,旭川市９条通１１右１－２Ｆ,0166－26－2488,https://www.iekeikaku.co.jp,pending
01-723655,㈱ホーム企画センター,北海道,札幌市北区北３８条西２－１－２６,011－756－4818,https://www.homekikakucenter.co.jp,pending
01-705128,大進ホーム㈱,北海道,札幌市東区東苗穂３条１－２－１,011－783－1122,https://www.lixil-reformshop.jp/shop/SP00001048,pending
01-718197,㈱太平ホーム北海道,北海道,札幌市厚別区下野幌テクノパーク２－６－６,011－899－1801,https://taihei-home.jp/company,pending
01-623188,㈱ホーム創建,北海道,帯広市西５条南３１－１－４８,0155－26－1007,https://homesouken.co.jp,pending
01-592722,㈱アトリエゼロ,北海道,北見市北央町１１６－２,0157－24－4963,https://www.atelierzero.jp,pending
01-707947,竹内建設㈱,北海道,札幌市豊平区月寒東１条１８－１－３５,011－851－2430,https://www.tk2430.co.jp,pending
01-522995,㈱ホーム企画,北海道,函館市五稜郭町３５－１－６Ｆ,0138－54－1230,https://home-kikaku.co.jp,pending
00-014683,須藤建設㈱,北海道,伊達市松ヶ枝町６５－８,0142－25－2252,http://sudo-cnst.jp,pending
01-718397,㈱スカイハウス,北海道,札幌市白石区北郷３条２－１－２３,011－879－7177,https://www.skyhouse.co.jp,pending
01-603379,㈱住まいのウチイケ,北海道,室蘭市八丁平５－４４－５,0143－42－4118,https://www.uchiike-home.co.jp,pending
01-714602,㈱大和日建,北海道,札幌市北区新琴似５条１６－６,011－764－6981,https://hugkumi-life.jp/detail/index.php,pending
01-707597,三愛地所㈱,北海道,札幌市東区北３２条東７－１－１５,011－721－6226,https://www.san-aijisyo.co.jp,pending
01-715819,㈱札都,北海道,札幌市北区北２２条西３－１－３７,011－758－4505,https://www.satto310.co.jp,pending
01-723595,㈱協栄ハウス,北海道,千歳市朝日町３－５－１,0123－42－8810,https://www.kyoueihouse.jp,pending
01-632216,㈱伊藤建業,北海道,釧路市星が浦南１－５－１２,0154－52－0368,https://www.itoken946.co.jp,pending
01-710767,㈱アーキビジョン二十一,北海道,千歳市泉沢１００７－１６８,0123－28－8811,http://www.archi21.co.jp,pending
01-564736,㈱ＳＫＣサワダ,北海道,旭川市末広４条８－１－３,0166－57－0639,https://www.liner.jp/spot/217,pending
01-622761,㈲ホーム宅建,北海道,帯広市西１９条南３－１７－１４,0155－36－7100,https://www.home-takken.co.jp,pending
01-600090,㈱渡辺工務店,北海道,苫小牧市光洋町２－６－１６,0144－73－9006,https://www.ielcome.jp/hokkaido/watanabe/profile,pending
01-602597,㈱菅原工務店,北海道,苫小牧市桜木町３－１９－１７,0144－73－1465,https://sugakou1968.co.jp/newly,pending
01-592950,㈱アーバンハウス,北海道,北見市大通東６－３,0157－33－1457,https://hugkumi-life.jp/detail/index.php,pending
01-721602,㈲マイダ工務店,北海道,札幌市東区北３５条東２５－４－１６－１Ｆ,011－787－3535,https://maida.jp,pending
01-564976,㈱ジョイフルホーム,北海道,旭川市永山１４条３－４－１３,0166－21－8300,https://www.joyfulhome.jp/about,pending
01-563374,㈱タナカ,北海道,旭川市末広東１条２－１－２,0166－52－6025,http://www.tanaka-group.jp,pending
01-601895,アイビーホーム㈱,北海道,苫小牧市新開町４－３－１８,0144－55－5335,https://www.ivyhome-co.jp,pending
01-719356,㈱三五工務店,北海道,札幌市北区北３４条西１０－６－２１,011－726－3535,https://www.kk35.jp,pending
01-561573,㈱ハウジング髙橋,北海道,旭川市末広３条３－４－１７,0166－51－3201,https://www.housing-takahashi.jp,pending
01-603711,建成ホーム㈱,北海道,登別市富岸町３－４３－２,0143－86－1841,https://kenseihome.co.jp,pending
01-601938,㈱鈴木住建,北海道,苫小牧市日吉町４－２－３,0144－74－3720,https://kj-ie.co.jp/author/20230100190,pending
01-605118,東陽ハウス㈱,北海道,室蘭市宮の森町３－１４－１５,0143－43－8586,https://www.toyohouse.jp,pending
01-724117,㈱フェザーホーム,北海道,札幌市中央区南１条西２７－１－２９,011－214－9965,https://auka.jp/media/brand/94772534749493f442a7ed5600716f52,pending
01-712525,㈱Ｋ－ネクスト・プランニング,北海道,札幌市東区北１８条東２１－３－１,011－790－7017,https://www.knp1821.co.jp/company/business,pending
01-623908,㈱Ｃｒｙｐｔｎ,北海道,帯広市西３条南１－１５,0155－67－8007,https://iezoom.jp/company/company-1907.html,pending
01-717220,㈱ノースファイン・プランニング,北海道,札幌市東区北２２条東１７－１－１３,011－374－1009,https://hugkumi-life.jp/detail/index.php,pending
01-718189,㈱住まいのクワザワ,北海道,札幌市白石区中央２条７－１－１－２Ｆ,011－558－7139,https://www.sumaino-kuwazawa.co.jp,pending
01-713626,ケント・ハウス㈱,北海道,札幌市北区北９条西４－１８－１,011－746－5545,https://www.kent-inc.co.jp,pending
01-714228,㈱翼工務,北海道,札幌市西区西野３条１０－１０－１５,011－663－5303,https://www.builder-net.jp/builder,pending
01-560851,㈱坂下工務店,北海道,旭川市東光１７条６－１－２８,0166－31－1111,https://iezoom.jp/company/company-4065.html,pending
01-623639,㈱アール工建,北海道,帯広市西１３条南１７－１－３４,0155－67－7626,https://salesnow.jp/db/companies/jcbcxkyt9f23edg4v,pending
01-708476,㈱生杉建設,北海道,千歳市富士４－３－２２,0123－26－0035,https://ikesugi.co.jp,pending
01-701698,佐藤建設工業㈱,北海道,札幌市東区北３０条東１４－２－１８,011－711－8553,http://www.sato-home.jp,pending
01-702748,三王建設興産㈱,北海道,札幌市西区西野２条２－５－７－２Ｆ,011－661－1551,https://www.sanoh-home.co.jp,pending
